path,exists,is_dir,tracked,ignored,size,nfiles
results/dair_v2x_seq/trafalign_unfreeze_field_offset_key_comp4_20260722.csv,True,False,False,False,567,1
results/dair_v2x_seq/trafalign_unfreeze_tail_head_gate06_key_comp0_comm0_20260722.csv,True,False,False,False,324,1
results/dair_v2x_seq/trafalign_unfreeze_tail_head_key_comp0_comm0_20260722.csv,True,False,False,False,310,1
results/dair_v2x_seq/trafalign_unfreeze_tail_head_key_comp2_20260722.csv,True,False,False,False,556,1
results/dair_v2x_seq/trafalign_unfreeze_tail_head_key_comp4_20260722.csv,True,False,False,False,555,1
results/trafalign_dair_v2x_c_compat/,True,True,False,False,319510681,26605
runs/data_dair_official_eval,True,True,False,True,2753429781,3317
runs/data_dair_official_eval/config.yaml,True,False,False,True,4240,1
runs/data_dair_official_eval/net_epoch_bestval_at21.pth,True,False,False,True,54381613,1
runs/data_v2xsim_pipeline/results/data_v2xsim_latency_ap.csv,True,False,False,True,4177,1
runs/data_v2xsim_pipeline_comp135/results/data_v2xsim_latency_ap.csv,True,False,False,True,4203,1
scripts/download_dair_v2x_seq_spd.py,True,False,False,False,5688,1
scripts/prepare_trafalign_dair_compat.py,True,False,False,False,11516,1
scripts/run_dair_data_hybrid_rf_assist.py,True,False,False,False,15971,1
scripts/run_dair_data_joint_delay_comp.py,True,False,False,False,22126,1
scripts/run_dair_data_rf_ours_box_comp_grid.py,True,False,False,False,27288,1
scripts/run_dair_data_rf_ours_box_comp_grid.py --eval-jobs 6,False,False,False,False,,
scripts/run_trafalign_dair_compat_eval.py,True,False,False,False,7620,1
scripts/run_trafalign_dair_v2x_seq_eval.py,True,False,False,False,18731,1
scripts/run_v2xsim_data_joint_delay_comp.py,True,False,False,False,21330,1
scripts/train_trafalign_feature_t10n10_predictor.py,True,False,False,False,15073,1
scripts/train_trafalign_joint_delay_comp.py,True,False,False,False,17164,1
