scene,interval,last_input_frame,target_frame,iou,baseline_iou
8,5,67,72,0.461641,0.381378
8,6,67,73,0.450858,0.372527
8,7,67,74,0.445908,0.351062
8,8,67,75,0.443603,0.353725
8,9,67,76,0.440689,0.332477
8,1,68,69,0.524982,0.442204
8,2,68,70,0.467001,0.384068
8,3,68,71,0.458546,0.381755
8,4,68,72,0.457991,0.381476
8,5,68,73,0.462251,0.382410
8,6,68,74,0.445184,0.371980
8,7,68,75,0.436816,0.364342
8,8,68,76,0.442064,0.347727
8,9,68,77,0.440389,0.337692
8,1,69,70,0.532511,0.451651
8,2,69,71,0.474777,0.394194
8,3,69,72,0.460402,0.381655
8,4,69,73,0.459794,0.377882
8,5,69,74,0.464573,0.388641
8,6,69,75,0.462767,0.374037
8,7,69,76,0.451129,0.362166
8,8,69,77,0.456043,0.350041
8,9,69,78,0.456005,0.347942
8,1,70,71,0.542782,0.457980
8,2,70,72,0.490963,0.401013
8,3,70,73,0.482355,0.394880
8,4,70,74,0.465085,0.387471
8,5,70,75,0.468161,0.397655
8,6,70,76,0.454379,0.378714
8,7,70,77,0.452216,0.357538
8,8,70,78,0.456908,0.353169
8,9,70,79,0.461572,0.357996
8,1,71,72,0.543495,0.467678
8,2,71,73,0.494976,0.410330
8,3,71,74,0.480039,0.392959
8,4,71,75,0.470370,0.390596
8,5,71,76,0.447566,0.389599
8,6,71,77,0.452185,0.379595
8,7,71,78,0.459597,0.360879
8,8,71,79,0.468954,0.366473
8,9,71,80,0.476909,0.372583
8,1,72,73,0.545437,0.471469
8,2,72,74,0.492598,0.422363
8,3,72,75,0.484884,0.406921
8,4,72,76,0.464074,0.392900
8,5,72,77,0.450633,0.386214
8,6,72,78,0.455501,0.383933
8,7,72,79,0.460238,0.369170
8,8,72,80,0.470740,0.373904
8,9,72,81,0.461885,0.370131
8,1,73,74,0.544590,0.473779
8,2,73,75,0.493095,0.423913
8,3,73,76,0.477309,0.403900
8,4,73,77,0.455612,0.396665
8,5,73,78,0.464063,0.397358
8,6,73,79,0.462897,0.386408
8,7,73,80,0.462912,0.371424
8,8,73,81,0.457660,0.370697
8,9,73,82,0.451904,0.374280
8,1,74,75,0.548776,0.471029
8,2,74,76,0.493628,0.422130
8,3,74,77,0.463868,0.396419
8,4,74,78,0.470795,0.394855
8,5,74,79,0.471785,0.398777
8,6,74,80,0.470675,0.388552
8,7,74,81,0.464938,0.376469
8,8,74,82,0.462256,0.381129
8,9,74,83,0.436068,0.364677
8,1,75,76,0.549226,0.467994
8,2,75,77,0.488678,0.416773
8,3,75,78,0.476320,0.401161
8,4,75,79,0.475667,0.389995
8,5,75,80,0.471441,0.398018
8,6,75,81,0.452556,0.382467
8,7,75,82,0.461405,0.377880
8,8,75,83,0.451280,0.387011
8,9,75,84,0.441587,0.370201
8,1,76,77,0.538902,0.476614
8,2,76,78,0.504912,0.429782
8,3,76,79,0.498161,0.405311
8,4,76,80,0.498574,0.395026
8,5,76,81,0.481522,0.384768
8,6,76,82,0.469993,0.383348
8,7,76,83,0.455377,0.374042
